Word:  --> Said:5855
Word: gnarly --> Said:1
Word: go --> Said:21
Word: god --> Said:1
Word: goes --> Said:3
Word: going --> Said:24
Word: gold --> Said:1
Word: golden --> Said:2
Word: gone --> Said:1
Word: gonna --> Said:12
Word: good --> Said:18
Word: goodbye --> Said:1
Word: goodfella --> Said:1
Word: goodness --> Said:1
Word: gordon --> Said:1
Word: got --> Said:34
Word: gotta --> Said:11
Word: gotten --> Said:2
Word: grab --> Said:1
Word: grabby --> Said:2
Word: grade --> Said:1
Word: graduate --> Said:1
Word: graduating --> Said:1
Word: graduation --> Said:1
Word: grandmother --> Said:2
Word: granny --> Said:1
Word: grasshopper --> Said:1
Word: grateful --> Said:1
Word: great --> Said:9
Word: greater --> Said:1
Word: greatest --> Said:1
Word: gross --> Said:1
Word: ground --> Said:1
Word: group --> Said:1
Word: growing --> Said:1
Word: guatemalan --> Said:1
Word: guess --> Said:6
Word: guest --> Said:2
Word: gun --> Said:3
Word: gusty --> Said:2
Word: guy --> Said:5
Word: guys --> Said:7
Word: had --> Said:10
Word: hair --> Said:2
Word: hairy --> Said:1
Word: hal --> Said:1
Word: half --> Said:2
Word: hallelujah --> Said:1
Word: hands --> Said:2
Word: handsome --> Said:1
Word: hang --> Said:3
Word: hangs --> Said:1
Word: haphazardly --> Said:1
Word: happened --> Said:7
Word: happening --> Said:1
Word: happens --> Said:1
Word: happiest --> Said:1
Word: happy --> Said:3
Word: hard --> Said:7
Word: harder --> Said:1
Word: harmless --> Said:1
Word: harrys --> Said:1
Word: has --> Said:8
Word: hat --> Said:2
Word: hate --> Said:2
Word: have --> Said:76
Word: haven't --> Said:5
Word: having --> Said:3
Word: he --> Said:25
Word: he'd --> Said:1
Word: he'll --> Said:2
Word: he's --> Said:15
Word: head --> Said:3
Word: headed --> Said:2
Word: heads --> Said:1
Word: health --> Said:1
Word: hear --> Said:7
Word: heard --> Said:8
Word: heart --> Said:1
Word: heat --> Said:3
Word: heating --> Said:2
Word: heaving --> Said:1
Word: hector --> Said:1
Word: hello --> Said:10
Word: helmet --> Said:1
Word: help --> Said:8
Word: helping --> Said:3
Word: helpless --> Said:1
Word: her --> Said:3
Word: hercules --> Said:1
Word: here --> Said:40
Word: here's --> Said:3
Word: hexagon --> Said:2
Word: hey --> Said:13
Word: hi --> Said:4
Word: high --> Said:3
Word: him --> Said:13
Word: his --> Said:9
Word: history --> Said:2
Word: hit --> Said:3
Word: hitchhiked --> Said:1
Word: hitting --> Said:1
Word: hive --> Said:12
Word: hive's --> Said:1
Word: hivo --> Said:1
Word: hockey --> Said:1
Word: hold --> Said:9
Word: hollywood --> Said:1
Word: holographic --> Said:1
Word: home --> Said:7
Word: homes --> Said:2
Word: honesco --> Said:1
Word: honex --> Said:4
Word: honey --> Said:49
Word: honey's --> Said:2
Word: honeybee --> Said:1
Word: honeybees --> Said:1
Word: honeyburton --> Said:1
Word: honor --> Said:5
Word: honorable --> Said:1
Word: honron --> Said:1
Word: hope --> Said:3
Word: hoping --> Said:1
Word: horrible --> Said:3
Word: hospitals --> Said:1
Word: hot --> Said:3
Word: hothead --> Said:1
Word: hotter --> Said:1
Word: hottest --> Said:1
Word: hour --> Said:1
Word: hours --> Said:3
Word: house --> Said:1
Word: hover --> Said:3
Word: how --> Said:32
Word: how'd --> Said:2
Word: huge --> Said:7
Word: huh --> Said:1
Word: human --> Said:11
Word: humans --> Said:16
Word: humming --> Said:1
Word: hundreds --> Said:1
Word: hurry --> Said:1
Word: hurt --> Said:3
Word: hurts --> Said:1
Word: i --> Said:239
Word: i'd --> Said:7
Word: i'll --> Said:11
Word: i'm --> Said:80
Word: i've --> Said:12
Word: idea --> Said:5
Word: ideas --> Said:2
Word: idiots --> Said:1
Word: if --> Said:23
Word: ignacio --> Said:1
Word: iguana --> Said:1
Word: illegally --> Said:1
Word: illegitimate --> Said:1
Word: image --> Said:1
Word: imagine --> Said:1
Word: imagines --> Said:1
Word: important --> Said:2
Word: impose --> Said:1
Word: impossible --> Said:1
Word: improve --> Said:1
Word: in --> Said:85
Word: incapacitated --> Said:1
